ID_LUGAR,NOMBRE_COMUNA,VIA,BARRIO
8b235a7c-79f6-4803-acf0-e22930793fd5, MUTIS,CALLE,MUTIS
a1f9a2d8-f012-42fc-ae5f-bca64cd6af0e, NORORIENTAL,VIA MATANZA,REGADEROS NORTE
e0c5969f-4c1a-4ccb-a483-f81a24841489, CABECERA DEL LLANO,CARRERA,CABECERA DEL LLANO
69b43800-5221-407c-891a-09a0e9a73898, SAN FRANCISCO,CARRERA,NORTE BAJO
f03f49da-3af0-4ef6-ae54-3c4604f5cb2b, SUR,CARRERA,DANGOND
dc1aade2-1b26-4f5d-8c32-bf495da1491d, LA CONCORDIA,CALLE,SAN MIGUEL
a3197f7b-df80-4eca-a7e8-f7e8e05a3dd6, LA PEDREGOSA,CARRERA,LA PEDREGOSA
42eee646-a42c-48f7-b2ed-f8c1b2178b4d, SUROCCIDENTE,TRANSVERSAL METROPOLITANA,BUCARAMANGA
125379e4-ec08-42c8-9d05-6bbb6e4202cb, NORORIENTAL,CARRERA,REGADEROS NORTE
bfef50b3-488c-4106-989e-f19e2a054148, NORTE,CARRERA,TEJAR NORTE
df5e29fa-fc88-44af-b1db-7a73d8e9839d, CABECERA DEL LLANO,CALLE,SOTOMAYOR
c4e1f2dc-e2d8-459e-8aac-65cc617d219c, NORORIENTAL,AUTOPISTA  NORTE,NORTE BAJO
8e34d1fa-0103-47bb-8ccc-87d3ab1ecda4, PROVENZA,CALLE,FONTANA
683faf3e-3a30-47e3-89c5-9e860fa248c0, PROVENZA,CARRERA,PROVENZA
4f6d8540-6d6f-4faf-961d-36ea3cb220dd, CABECERA DEL LLANO,CARRERA,NUEVO SOTOMAYOR
9117944f-1e73-44ec-bf99-c7001d515234, NORTE,AUTOPISTA  NORTE,CAFE MADRID
4543623d-c177-4607-9ac8-10030fb59499, CENTRO,CALLE,CENTRO
af9d661e-2ba6-4c71-ba66-6c31475f57b9, CENTRO,AVENIDA Q SECA,CENTRO
23e7cf6b-0197-47e9-ac96-1437304080e0, CENTRO,CARRERA,CENTRO
2def5e4f-6047-4e84-8bd3-4bc27bc9fb4f, ORIENTAL,CARRERA,ALVAREZ
c6406713-1c68-40d4-9fad-d5924ecc6644, LA PEDREGOSA,CALLE,ASTURIAS
003ac870-f5a0-41f2-9575-71478ec109ee, CABECERA DEL LLANO,CARRERA,BOLARQUI
0cec8595-9574-44bc-89e1-d93a80e08bbc, ORIENTAL,AVENIDA Q SECA,LOS PINOS
99c0f996-785d-4ed5-a180-2ef40c5083d3, SUR,CARRERA,MANUELA BELTRAN
f0414f71-c909-4cd4-9b44-c32e0a74a3d7, LA PEDREGOSA,CARRERA,LA PEDREGOSA
4d4ba0dd-1823-4ba1-b26e-a8f4a431f2db, OCCIDENTAL,ANILLO VIAL,RIO DE ORO I
fa100664-e133-4736-9b81-2c94203d14e1, SAN FRANCISCO,CARRERA,ALARCON
8785ab77-dd6a-4d09-b724-84a13410c748, LA CIUDADELA,CALLE,REAL DE MINAS
d6578f9f-0ff3-4c9b-8a3b-d627abc8a83c, LA CIUDADELA,CALLE,REAL DE MINAS
bd90d7c3-ebd4-460a-b03a-e7db0a73b984, ORIENTAL,CARRERA,ANTONIA SANTOS CENTRO
5f38fa5e-7f6c-4281-9eb8-42264888f11e, CENTRO,CALLE,CENTRO
feadf5e9-4693-4415-92d6-10f5ffb2b90c, CABECERA DEL LLANO,CARRERA,CONUCOS
a0bebfc7-6b07-47ff-b57e-adb9194bde55, SAN FRANCISCO,CALLE,ALARCON
5984a0b5-872b-4914-a078-b2bbd38c7a64, CABECERA DEL LLANO,AVENIDA Q SECA,NUEVO SOTOMAYOR
35aef678-a42d-42d7-895f-2ed2dd803d81, SAN FRANCISCO,AVENIDA Q SECA,ALARCON
07dce15d-5b49-438f-adc5-8472a3f96cb4, OCCIDENTAL,ANILLO VIAL,RIO DE ORO I
0e579c62-b1e5-4e19-9584-2e5a79dbd792, ORIENTAL,CARRERA,ANTONIA SANTOS CENTRO
5dd2b223-4ee4-4d38-bd3b-5377c0dd1f64, LA PEDREGOSA,AUTOPISTA FLORIDA BUCARAMANGA,ASTURIAS
e13d0db3-ccf1-4081-b41d-1fc3ada60c35, ORIENTAL,CALLE,LA AURORA
19435b7b-ae81-46fc-a625-7eb9524aa790, ORIENTAL,CALLE,MEJORAS PUBLICAS
14668895-8420-40f5-ba42-60f9ed3ce42f, CABECERA DEL LLANO,CARRERA,CABECERA DEL LLANO
03f73347-4e06-4a4f-a5ed-426bc4d69080, OCCIDENTAL,CALLE,GIRARDOT
b034af7f-2a3a-4ff0-b3cd-81e75c50e9aa, OCCIDENTAL,CALLE 45 VIA CHIMITA,RIO DE ORO I
26dcf701-2b37-4737-8971-df5be1bf97e2, LA CIUDADELA,AVENIDA  GONZALEZ VALENCIA,REAL DE MINAS
c50c3d13-31b2-414d-aa5e-e14481892144, ORIENTAL,AVENIDA Q SECA,SAN ALONSO
d81a425f-16f7-4a7e-a22b-5e7aab051fe1, ORIENTAL,CALLE,MEJORAS PUBLICAS
